,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,I-index,doubles,q-corr
4468,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 2, 5, 6, 4, 0]",339,296,57,106,229,6,100
4469,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 2, 6, 5, 4, 0]",357,309,52,103,215,8,107
4470,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 2, 3, 5, 6, 0]",341,308,60,119,228,5,98
4471,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 2, 3, 6, 5, 0]",358,321,61,124,226,3,99
4472,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 2, 3, 4, 6, 0]",347,308,60,115,239,5,93
4473,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 2, 3, 4, 5, 0]",347,301,56,105,227,6,100
4474,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 2, 3, 6, 4, 0]",359,316,58,114,227,6,99
4475,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 2, 3, 5, 4, 0]",365,320,53,99,217,9,105
4476,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 2, 5, 3, 6, 0]",358,313,57,113,214,5,105
4477,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 2, 6, 3, 5, 0]",331,295,56,120,216,4,104
4478,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 2, 4, 3, 6, 0]",340,300,60,113,229,4,98
4479,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 2, 4, 3, 5, 0]",358,319,59,108,235,4,96
4480,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 2, 6, 3, 4, 0]",353,315,56,111,215,5,105
4481,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 2, 5, 3, 4, 0]",344,306,56,99,219,6,104
4482,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 2, 5, 6, 3, 0]",349,306,56,111,214,4,105
4483,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 2, 6, 5, 3, 0]",364,314,54,113,218,5,103
4484,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 2, 4, 6, 3, 0]",337,299,57,111,231,5,97
4485,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 2, 4, 5, 3, 0]",359,320,52,101,221,8,103
4486,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 2, 6, 4, 3, 0]",357,316,55,110,229,5,98
4487,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 2, 5, 4, 3, 0]",362,318,52,98,215,7,106
4488,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 4, 2, 5, 6, 0]",338,296,57,112,233,3,98
4489,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 4, 2, 6, 5, 0]",340,301,59,117,235,2,97
4490,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 5, 2, 4, 6, 0]",328,287,58,109,243,4,93
4491,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 6, 2, 4, 5, 0]",336,301,53,107,227,5,101
4492,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 5, 2, 6, 4, 0]",355,312,58,108,229,5,100
4493,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 6, 2, 5, 4, 0]",362,319,51,101,211,7,109
4494,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 3, 2, 5, 6, 0]",340,297,59,118,230,3,97
4495,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 3, 2, 6, 5, 0]",339,295,59,123,232,2,96
4496,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 3, 2, 4, 6, 0]",383,338,62,117,247,4,89
4497,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 3, 2, 4, 5, 0]",371,330,58,108,235,5,96
4498,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 3, 2, 6, 4, 0]",349,315,60,116,233,5,96
4499,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 3, 2, 5, 4, 0]",357,311,56,102,219,7,104
4500,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 5, 2, 3, 6, 0]",362,321,58,110,224,3,100
4501,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 6, 2, 3, 5, 0]",358,313,58,120,226,3,99
4502,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 4, 2, 3, 6, 0]",342,309,60,112,231,3,97
4503,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 4, 2, 3, 5, 0]",348,305,63,115,237,3,95
4504,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 6, 2, 3, 4, 0]",327,280,57,113,225,4,100
4505,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 5, 2, 3, 4, 0]",336,292,60,106,229,4,99
4506,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 5, 2, 6, 3, 0]",340,298,56,108,214,3,105
4507,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 6, 2, 5, 3, 0]",346,301,56,113,214,4,105
4508,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 4, 2, 6, 3, 0]",356,320,58,110,221,3,102
4509,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 4, 2, 5, 3, 0]",353,311,59,108,225,4,101
4510,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 6, 2, 4, 3, 0]",344,307,57,112,229,3,98
4511,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 5, 2, 4, 3, 0]",332,291,58,105,233,3,97
4512,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 4, 5, 2, 6, 0]",378,332,53,106,215,6,107
4513,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 4, 6, 2, 5, 0]",354,317,57,115,231,3,99
4514,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 5, 4, 2, 6, 0]",332,296,57,107,229,6,100
4515,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 6, 4, 2, 5, 0]",328,286,59,112,241,3,94
4516,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 5, 6, 2, 4, 0]",369,327,59,108,233,4,98
4517,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 6, 5, 2, 4, 0]",355,311,57,104,229,4,100
4518,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 3, 5, 2, 6, 0]",381,330,57,112,220,4,102
4519,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 3, 6, 2, 5, 0]",356,317,58,121,218,2,103
4520,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 3, 4, 2, 6, 0]",348,310,61,115,235,3,95
4521,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 3, 4, 2, 5, 0]",349,314,60,113,237,2,95
4522,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 3, 6, 2, 4, 0]",361,314,61,116,223,4,101
4523,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 3, 5, 2, 4, 0]",354,320,59,105,227,5,100
4524,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 5, 3, 2, 6, 0]",357,321,59,110,228,4,98
4525,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 6, 3, 2, 5, 0]",364,325,62,122,222,2,101
4526,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 4, 3, 2, 6, 0]",358,308,59,112,229,3,98
4527,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 4, 3, 2, 5, 0]",353,306,62,117,231,2,98
4528,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 6, 3, 2, 4, 0]",355,316,60,116,227,4,99
4529,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 5, 3, 2, 4, 0]",355,317,60,109,235,5,96
4530,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 5, 6, 2, 3, 0]",375,326,58,110,228,3,98
4531,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 6, 5, 2, 3, 0]",368,324,60,113,224,3,100
4532,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 4, 6, 2, 3, 0]",348,313,59,112,231,4,97
4533,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 4, 5, 2, 3, 0]",365,324,58,108,217,6,105
4534,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 6, 4, 2, 3, 0]",341,305,60,115,241,4,92
4535,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 5, 4, 2, 3, 0]",343,306,57,108,231,6,98
4536,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 4, 5, 6, 2, 0]",336,300,54,104,219,7,105
4537,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 4, 6, 5, 2, 0]",359,311,56,108,233,5,98
4538,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 5, 4, 6, 2, 0]",333,297,57,105,229,8,100
4539,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 6, 4, 5, 2, 0]",340,304,55,105,225,8,102
4540,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 5, 6, 4, 2, 0]",322,275,59,107,247,5,91
4541,,7,76,pauli_polynomial_steiner_gray_clifford,"[3, 1, 6, 5, 4, 2, 0]",325,284,55,103,229,7,100
4542,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 3, 5, 6, 2, 0]",362,322,55,110,224,5,100
4543,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 3, 6, 5, 2, 0]",356,314,56,114,220,4,102
4544,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 3, 4, 6, 2, 0]",367,320,59,113,235,5,95
4545,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 3, 4, 5, 2, 0]",349,302,55,106,221,7,103
4546,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 3, 6, 4, 2, 0]",370,335,61,115,237,5,94
4547,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 3, 5, 4, 2, 0]",349,302,56,104,227,8,100
4548,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 5, 3, 6, 2, 0]",357,316,57,108,218,5,103
4549,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 6, 3, 5, 2, 0]",350,307,59,115,214,5,105
4550,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 4, 3, 6, 2, 0]",354,310,58,110,219,4,103
4551,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 4, 3, 5, 2, 0]",330,284,59,110,223,5,102
4552,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 6, 3, 4, 2, 0]",357,315,61,115,229,4,98
4553,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 5, 3, 4, 2, 0]",342,296,60,108,237,5,95
4554,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 5, 6, 3, 2, 0]",350,310,58,110,228,4,98
4555,,7,76,pauli_polynomial_steiner_gray_clifford,"[4, 1, 6, 5, 3, 2, 0]",350,294,59,113,228,5,98
4556,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 4, 6, 3, 2, 0]",360,320,60,112,231,5,97
4557,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 4, 5, 3, 2, 0]",318,280,59,108,221,8,103
4558,,7,76,pauli_polynomial_steiner_gray_clifford,"[5, 1, 6, 4, 3, 2, 0]",355,312,61,115,239,5,93
4559,,7,76,pauli_polynomial_steiner_gray_clifford,"[6, 1, 5, 4, 3, 2, 0]",353,316,59,108,229,7,99
4560,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 3, 1, 4, 5, 6, 0]",316,285,60,108,226,6,101
4561,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 3, 1, 4, 6, 5, 0]",355,316,63,113,242,3,93
4562,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 3, 1, 5, 4, 6, 0]",351,313,60,104,236,7,96
4563,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 3, 1, 6, 4, 5, 0]",333,298,60,106,234,6,97
4564,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 3, 1, 5, 6, 4, 0]",358,320,61,103,240,5,94
4565,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 3, 1, 6, 5, 4, 0]",327,288,58,100,222,7,103
4566,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 4, 1, 3, 5, 6, 0]",346,307,60,114,234,4,97
4567,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 4, 1, 3, 6, 5, 0]",341,302,62,119,232,2,98
4568,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 5, 1, 3, 4, 6, 0]",332,298,58,104,238,4,95
4569,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 6, 1, 3, 4, 5, 0]",350,297,54,98,222,5,103
4570,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 5, 1, 3, 6, 4, 0]",350,306,59,103,226,5,101
4571,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 6, 1, 3, 5, 4, 0]",327,292,53,92,212,8,108
4572,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 4, 1, 5, 3, 6, 0]",361,319,60,108,228,4,100
4573,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 4, 1, 6, 3, 5, 0]",343,301,62,115,226,3,101
4574,,7,76,pauli_polynomial_steiner_gray_clifford,"[2, 5, 1, 4, 3, 6, 0]",366,328,58,102,222,3,103
